RMSE_original, 0.0108639
Factors, aSlopwgs84r.tif,ChinaDemSigned1r.tif,cngdp20101r.tif,dist2highwayr.tif,dist2hsrstationsr.tif,dist2importanttownr.tif,dist2iprimaryr.tif,dist2isecondaryr.tif,dist2prefecture_cityr.tif,dist2provincial_capitalr.tif,dist2railwayr.tif,dist2trunkr.tif,HWSD_China_Geo1r.tif,p0p2010_wgs84r.tif,wc2.0_bio_30s_01r.tif,wc2.0_bio_30s_12r.tif,
RMSE_noise, 0.0263955,0.023208,0.0166866,0.0146265,0.0120548,0.0211513,0.014288,0.0132458,0.0118042,0.0562656,0.0123369,0.0120963,0.0114493,0.0108639,0.0222009,0.170976,
Contribution:, 0.0563094,0.0447531,0.0211099,0.0136411,0.00431744,0.0372967,0.0124138,0.00863531,0.00340879,0.164603,0.0053403,0.00446788,0.00212231,0,0.0411017,0.58048,
