wh_df_dem.tif,wh_df_pre.tif,wh_df_slope.tif,wh_df_tem.tif,Type
0.21865,0.194286,0.034687,0.360248,0
0.212219,0.142857,0.0303343,0.236025,0
0.221865,0.154286,0.0428927,0.335403,0
0.228296,0.137143,0.037622,0.360248,0
0.212219,0.2,0.00841439,0.360248,0
0.21865,0.2,0,0.360248,0
0.209003,0.12,0.0237975,0.291925,0
0.215434,0.12,0.0188143,0.291925,0
0.21865,0.194286,0.0531932,0.360248,0
0.241158,0.131429,0.034687,0.335403,0
0.21865,0.0857143,0.0475819,0.229813,0
0.212219,0.114286,0,0.291925,0
0.22508,0.16,0.0168282,0.341615,0
0.212219,0.114286,0.0188143,0.291925,0
0.212219,0.114286,0.0428927,0.291925,0
0.212219,0.194286,0.0511614,0.360248,0
0.221865,0.131429,0.0188143,0.329192,0
0.215434,0.0285714,0.0490452,0.21118,0
0.231511,0.0457143,0.0490452,0.229814,0
0.231511,0.137143,0.0713398,0.360248,0
0.215434,0.0457143,0.037622,0.229814,0
0.215434,0.0857143,0.0606412,0.229813,0
0.22508,0.114286,0.0168282,0.248447,0
0.212219,0.131429,0.0356922,0.329192,0
0.215434,0.114286,0,0.242236,0
0.21865,0.137143,0.0118996,0.242236,0
0.221865,0.12,0.0490452,0.31677,0
0.234727,0.137143,0.0452982,0.360248,0
0.234727,0.154286,0.101154,0.366459,0
0.209003,0.131429,0.00841439,0.279503,0
0.228296,0.131429,0.00841439,0.329192,0
0.209003,0.217143,0.037622,0.385093,0
0.221865,0.217143,0.0797438,0.385093,0
0.221865,0.217143,0.0420602,0.385093,0
0.21865,0.148571,0.0266059,0.385093,0
0.215434,0.222857,0.037622,0.397515,0
0.215434,0.148571,0.0612208,0.385093,1
0.21865,0.108571,0.034687,0.236025,0
0.22508,0.188571,0.0237975,0.341615,0
0.215434,0.114286,0.0168282,0.242236,0
0.209003,0.131429,0.0266059,0.279503,0
0.22508,0.154286,0.0356922,0.366459,0
0.215434,0.194286,0.0656729,0.360248,0
0.209003,0.137143,0.0303343,0.242236,0
0.205788,0.2,0.00841439,0.360248,0
0.215434,0.114286,0.0188143,0.242236,0
0.231511,0.0628571,0.034687,0.229814,0
0.21865,0.188571,0.0118996,0.341615,0
0.228296,0.154286,0.0118996,0.366459,0
0.212219,0.148571,0.0490452,0.385093,0
0.212219,0.137143,0.00841439,0.242236,0
0.215434,0.131429,0.0420602,0.279503,0
0.212219,0.114286,0.034687,0.242236,0
0.212219,0.131429,0.0420602,0.242236,0
0.221865,0.114286,0.0303343,0.248447,0
0.212219,0.114286,0.0188143,0.248447,0
0.221865,0.137143,0.0188143,0.360248,0
0.231511,0.0628571,0.0336517,0.229814,0
0.212219,0.137143,0.0252408,0.242236,0
0.21865,0.125714,0.0303343,0.242236,0
0.209003,0.137143,0.0118996,0.242236,0
0.212219,0.154286,0.0188143,0.385093,0
0.215434,0.131429,0.0252408,0.279503,0
0.215434,0.131429,0.0511614,0.335403,0
0.212219,0.131429,0.0564167,0.385093,0
0.21865,0.154286,0.0188143,0.385093,0
0.22508,0.0628571,0.0420602,0.229814,0
0.21865,0.0914286,0.0336517,0.248447,0
0.22508,0.0914286,0.0252408,0.248447,0
