Highways_R2005_test3.tif,Type
0.0472639,0
0.129354,0
0.0522556,1
0.0475405,0
0.000328291,1
0.221086,1
0.232133,0
0.00073408,0
0.00251094,1
0.0469015,1
0.241943,1
0.227082,0
0.0218014,1
0.0541035,1
0.101228,1
0.213228,1
0.177308,1
0.0223301,1
0.119928,1
0.0115276,0
0.0638372,0
0,0
0.130575,0
0.105877,1
0.0641626,1
0.0523257,0
0.0259147,0
0.165064,0
0.0247729,0
0.00269218,0
0.0908197,0
0.169297,1
0.088964,1
0.0376337,1
0.0150889,0
0.0346127,1
0.0914298,1
0.0675597,0
0.0569054,1
0.0109922,1
0.00103815,1
0.176192,1
0.118181,0
0.0771862,0
0.0528549,1
0.00123382,1
0.00368871,1
0.0805133,1
0.0309685,1
0.0191065,0
0.196852,1
0.0656534,0
0.0844978,1
0.137927,1
0.0755558,1
0.0707085,1
0.0103412,0
0.0822907,0
0.0546239,0
0.0786628,0
0.149398,0
0.00972345,0
0.0238279,1
0.185103,1
0.0294663,1
0.074143,0
0.0495387,0
0.0534751,0
0.0270103,1
0.0918334,0
0.00713419,1
0.0432703,1
0.0107968,1
0.0149818,0
0.150715,1
0.0274484,0
0.0171278,1
0.0488177,1
0.0232374,0
0.101857,0
0.0453364,1
0.00808322,0
0.000232137,1
0.0439905,1
0.0493029,1
0.0394176,1
0.145525,0
0.00634247,0
0.130139,1
0.0368271,0
0.0158249,0
0.0214202,1
0.0658361,1
0.095814,0
0.139045,0
0.0375984,1
0.0450034,1
0.0310727,1
0.0125665,1
0.0610772,1
0.127833,1
0.152804,0
0.0734623,1
0.0043008,0
0.00302669,0
0.0971492,0
0.0661065,0
0.0079335,0
0.0101346,1
0.0184563,1
0.0185437,1
0.103037,0
0.0256088,0
0.00643734,0
0.021224,0
0.0794029,1
0.0217655,1
0.144897,0
0.127069,0
0.0810177,1
0.131691,1
0.150056,0
0.109905,0
0.115195,1
0.149867,0
0.136936,1
0.0220862,1
0.0357825,1
0.0987392,1
0.108104,1
0.128827,0
0.163573,0
0.0592909,1
0.0426318,0
0.139593,0
0.000232137,0
0.112714,1
0.0559547,1
0.0309293,1
0.124058,1
0.0259464,0
0.029172,0
0.0176927,0
0.0519925,1
0.0645048,0
0.0762138,0
0.098983,0
0.0155661,0
0.00518294,0
0.151158,1
0.133876,1
0.0450638,0
0.0564208,1
0.114621,1
0.071925,0
0.0153675,1
0.0552949,0
0.059961,0
0.0977806,1
0.16924,1
0.0560413,0
0.0264763,0
0.133197,1
0.089233,0
0.160146,1
0.0952635,0
0.0899739,0
0.0278082,0
0.0398378,1
0.048118,1
0.118756,1
0.0474178,0
0.135218,1
0.0474178,0
0.116186,0
0.0732178,1
0.0998987,1
0.0900931,1
0.0161051,0
0.0249277,1
0.0656713,0
0.0945523,1
0.0931458,1
0.105418,1
0.131207,0
0.137104,0
0.0457927,0
0.00338394,1
0.151135,1
0.151903,1
0.0404066,0
0.0133766,0
0.102837,1
0.0853061,1
0.104591,0
0.063881,0
0.0969621,1
0.1096,0
0.0897809,1
0.141354,0
0.141354,0
0.0825781,0
0.0614864,0
0.106879,0
0.0741897,0
0.161012,1
0.134598,1
0.16071,0
0.0500869,1
0.000348205,1
0.0950191,1
0.0320079,0
0.083234,0
0.0665978,1
0.0707215,0
0.131257,1
0.119421,1
0.177405,1
0.0614361,1
0.0159572,0
0.0556742,1
0.00483045,1
0.106791,0
0.0975253,0
0.125977,0
0.0224336,1
0.094403,0
0.0951843,0
0.02051,0
0.20009,0
0.17039,1
0.104173,0
0.0600338,1
0.0819657,1
0.0931566,0
0.0583675,0
0.0313775,0
0.0283097,0
0.0499802,0
0.167361,1
0.191391,1
0.213763,0
0.159035,1
0.0454647,1
0.0957662,0
0.109696,0
0.111481,0
0.027466,0
0.0505698,1
0.0870185,0
0.0950685,1
0.0980169,1
0.219908,0
0.00488177,0
0.0364567,0
0.0994323,0
0.0789074,0
0.00267964,0
0.00881661,0
0.0307213,0
0.0359746,0
0.0341795,0
0.167903,1
0.194914,1
0.0167818,1
0.0553851,0
0.137658,1
0.078864,0
0.0204629,1
0.181061,1
0.0378219,0
0.0859164,0
0.0768643,1
0.025535,0
0.202713,1
0.0481918,0
0.0575692,0
0.0804032,0
0.101569,1
0.0625127,0
0.0804631,0
0.0645093,1
0.0157891,0
0.0404161,0
0.0720241,0
0.0516755,0
0.0205228,0
0.0542236,1
0.0186361,1
0.0435782,0
0.114095,0
0.00444255,0
0.012354,0
0.0136117,1
0.0545074,0
0.143582,1
0.213121,1
0.00901455,0
0.0295799,1
0.0490354,1
0.0539668,1
0.0189188,0
0.0486708,1
0.0138433,0
0.0683556,0
0.0146306,0
0.0267645,1
0.0888392,1
0.0838579,1
0.0483057,1
0.0247617,1
0.126189,1
0.0472151,1
0.0186072,1
0.192451,1
0.0660428,0
0.0760247,0
0.0860066,1
0.0904887,1
0.0694159,1
0.123799,1
0.041076,1
0.032752,1
0.00772704,0
0.0875623,0
0.155069,1
0.0365702,0
0.0197657,1
0.0535286,0
0.00350903,1
0.161236,1
0.0900346,1
0.0136013,0
0.0546509,1
0.0297755,1
0.0438928,1
0.0617035,0
0.0516795,1
0.0107694,0
0.125461,1
0.1279,0
0.00216833,1
0.141494,1
0.133197,1
0.0403265,1
0.0633789,1
0.104107,1
0.0609483,1
0.136212,0
0.168906,1
0.111969,1
0.0642733,0
0.00478562,1
0.00083698,1
0.0840464,1
0.0704879,0
0.0663385,0
0.00513987,1
0.0595503,1
0.1351,1
0.113103,0
0.0447447,1
0.167201,1
0.00279047,0
0.0619714,1
0.0507825,1
0.0187028,1
0.156286,1
0.0541427,1
0.124504,1
0.000625047,0
0.129148,1
0.118511,0
0.0871612,1
0.101791,0
0.0117916,0
0.00462092,0
0.0666464,1
0.164735,1
0.0880788,1
0.121092,1
0.0893181,1
0.184023,1
0.116181,0
0.133355,0
0.0515992,0
0.00337397,0
0.000519073,1
0.0895699,0
0.108033,1
0.119057,0
0.166001,1
0.185739,1
0.124222,1
0.114317,1
0.0941417,1
0.0461457,1
0.191475,0
0.0148286,0
0,0
0.124683,0
0.0573396,1
0.0344001,1
0.00695635,1
0.0375461,1
0.211889,1
0.0787474,1
0.0600047,1
0.0826912,1
0.0968714,1
0.0842145,1
0.200219,1
0.0351413,1
0.129105,1
0.116422,1
0.00726702,0
0.0291186,1
0.206928,0
0.0887547,1
0.0057098,0
0.13159,1
0.137024,0
0.0470792,1
0.0100665,1
0.0668557,1
0.0881924,1
0.118021,1
0.00711149,1
0.134011,0
0.0340982,1
0.0760622,1
0.0243566,1
0.00504463,0
0.104056,1
0.0918904,1
0.176561,1
0.0668389,0
0.0998264,0
0.100525,1
0.00577666,0
0.0950981,0
0.103783,1
0.0341882,1
0.0527437,1
0.00851343,1
0.0973082,1
0.00459167,1
0.122022,1
0.0545022,0
0.00517644,1
0.0175013,1
0.134303,0
0.0506169,0
0.0193566,0
0.108277,0
0.0742157,1
0.0120828,0
0.0484454,1
0.0902116,0
0.044956,0
0.00900932,1
0.0448109,0
0.0744584,1
0.0464195,0
0.0388482,1
0.0733009,1
0.0693596,1
0.105355,1
0.10417,1
0.00711433,1
0.0578847,1
0.000348205,1
0.0469652,1
0.118882,1
0.0595981,0
0.0445238,1
0.0789262,0
0.0975925,0
0.0370461,1
0.0214604,1
0.0717986,0
0.0805818,1
0.0448144,1
0.0734554,0
0.0154598,1
0.0867911,1
0.0918489,1
0.0434737,1
0.0747483,1
0.0325807,1
0.0578248,0
0.0360748,1
0.0599939,1
0.02688,0
0.0611323,0
0.0607597,0
0.103243,0
0.0417,1
0.0317266,1
0.000906522,0
0.0219642,1
0.00826044,1
0.022085,0
0.0246945,0
0.0114338,1
0.0153509,1
