RMSE_original, 0.00435217
Factors, aSlopwgs84r.tif,ChinaDemSigned1r.tif,cngdp20101r.tif,dist2highwayr.tif,dist2hsrstationsr.tif,dist2importanttownr.tif,dist2iprimaryr.tif,dist2isecondaryr.tif,dist2prefecture_cityr.tif,dist2provincial_capitalr.tif,dist2railwayr.tif,dist2trunkr.tif,HWSD_China_Geo1r.tif,p0p2010_wgs84r.tif,wc2.0_bio_30s_01r.tif,wc2.0_bio_30s_12r.tif,
RMSE_noise, 0.00467416,0.00520505,0.00448821,0.0457969,0.00694782,0.00625184,0.00632092,0.00502213,0.0115104,0.00625985,0.0273972,0.00631563,0.00453633,0.0044358,0.00575376,0.00716092,
Contribution:, 0.00364064,0.00964335,0.00153816,0.468608,0.0293485,0.0214792,0.0222603,0.00757511,0.080937,0.0215697,0.260566,0.0222005,0.00208227,0.000945592,0.0158475,0.031758,
