RMSE_original, 0.0617046
Factors, aSlopwgs84r.tif,ChinaDemSigned1r.tif,cngdp20101r.tif,dist2highwayr.tif,dist2hsrstationsr.tif,dist2importanttownr.tif,dist2iprimaryr.tif,dist2isecondaryr.tif,dist2prefecture_cityr.tif,dist2provincial_capitalr.tif,dist2railwayr.tif,dist2trunkr.tif,HWSD_China_Geo1r.tif,p0p2010_wgs84r.tif,wc2.0_bio_30s_01r.tif,wc2.0_bio_30s_12r.tif,
RMSE_noise, 0.0933815,0.12916,0.149665,0.137686,0.106343,0.0973428,0.116905,0.106394,0.0858552,0.0920126,0.104536,0.112727,0.0831174,0.168629,0.11921,0.111939,
Contribution:, 0.0382742,0.0815045,0.106279,0.0918066,0.0539356,0.0430606,0.0666965,0.0539971,0.0291805,0.0366202,0.0517518,0.0616485,0.0258725,0.129193,0.0694826,0.0606965,
