aSlopwgs84r.tif,ChinaDemSigned1r.tif,cngdp20101r.tif,dist2highwayr.tif,dist2hsrstationsr.tif,dist2importanttownr.tif,dist2iprimaryr.tif,dist2isecondaryr.tif,dist2prefecture_cityr.tif,dist2provincial_capitalr.tif,dist2railwayr.tif,dist2trunkr.tif,HWSD_China_Geo1r.tif,p0p2010_wgs84r.tif,wc2.0_bio_30s_01r.tif,wc2.0_bio_30s_12r.tif,Type
0.272035,0.312307,0.000734209,0.222572,0.420747,0.565868,0.568779,0.0422296,0.436247,0.602514,0.296191,0.19104,0.902192,0,0.826725,0.0682731,0
0.312367,0.365801,0.000341109,0.273188,0.454346,0.724118,0.597198,0.323336,0.481693,0.504114,0.380408,0.31287,0.892074,0,0.578762,0.0823293,0
0.138648,0.120594,0.000393928,0.026924,0.467372,0.513964,0.129378,0.272205,0.492558,0.64305,0.241085,0.229047,0.0708263,0.00393733,0.869636,0.0281125,0
0.140832,0.210266,0.000219438,0.029759,0.668828,0.716898,0.00237506,0.0646864,0.575038,0.409383,0.288873,0.519819,0.0708263,0,0.830798,0.0200803,0
0.0641813,0.396722,0.000189708,0.328768,0.433477,0.696971,0.474065,0.211027,0.455638,0.519254,0.369482,0.281128,0.902192,0,0.629278,0.0742972,0
0.250467,0.531231,0.000946888,0.479083,0.954026,0.603775,0.0276365,0.202454,0.597192,0.317457,0.286343,0.25166,0.959528,0,0.461977,0.0853414,0
0.152171,0.190785,0.0014356,0.000997186,0.639801,0.728905,0.00106216,0.0453441,0.587835,0.419465,0.300548,0.546982,0.910624,0,0.822922,0.0200803,0
0.2847,0.227891,8.864e-06,0.0365846,0.614903,0.739634,0.0857392,0.0298823,0.600375,0.428466,0.317305,0.518522,0.910624,0,0.751222,0.0301205,0
0.526998,0.175943,0.000165995,0.286366,0.408867,0.581473,0.579391,0.058396,0.422313,0.590772,0.314691,0.189288,0.010118,0,0.844378,0.0431727,0
0.102885,0.193568,0.00058683,0.044475,0.672691,0.716685,0.00300423,0.0827609,0.576577,0.408209,0.283146,0.512251,0.0708263,0,0.841391,0.0160643,0
0.252784,0.27953,0.00044228,0.23212,0.414411,0.566783,0.567109,0.0229022,0.428945,0.600886,0.305056,0.186386,0.902192,0,0.846279,0.0582329,0
0.159912,0.191713,0.00023687,0.28537,0.406755,0.580998,0.571923,0.0589064,0.419904,0.590747,0.317278,0.187588,0.010118,0,0.849538,0.0411647,0
0.177145,0.168522,0.00023687,0.279834,0.407415,0.579087,0.589034,0.0477356,0.420683,0.592053,0.316571,0.18699,0.010118,0,0.865834,0.0331325,0
0.377252,0.206865,0.000848711,0.0516789,0.67359,0.717354,0.00950022,0.0930994,0.578582,0.408024,0.279399,0.508589,0.0708263,0,0.841391,0.0160643,0
0.133461,0.21274,0.000326725,0.00183872,0.628335,0.735241,0.00450635,0.0610396,0.596733,0.423585,0.300745,0.535443,0.908938,0,0.805269,0.0271084,0
0.299414,0.519171,0.00135876,0.458029,0.952665,0.604641,0.0176778,0.218822,0.583981,0.316903,0.284383,0.243869,0.959528,0,0.488865,0.0773092,0
0.395381,0.346011,0.000388857,0.444728,0.871095,0.647976,0.19047,0.205594,0.581512,0.350982,0.248633,0.32699,0.959528,0,0.602933,0.060241,0
0.269691,0.191095,0.000624839,0.0811455,0.692562,0.710922,0.0286979,0.112621,0.573982,0.401864,0.274204,0.487964,0.010118,0,0.839489,0.0150602,0
0.154815,0.234075,0.000640257,0.256325,0.407912,0.57218,0.591775,0.0161389,0.421367,0.596469,0.316576,0.183835,0.902192,0,0.852797,0.0502008,0
0.348964,0.213049,0.000326725,0.00133787,0.627187,0.736118,0.00212431,0.0643414,0.598182,0.424004,0.299703,0.534526,0.908938,0,0.805269,0.0271084,0
